,pointsHomePerGame,pointsHomePerGame,pointsHomePerGame,pointsHomePerGame,pointsHomePerGame,pointsHomePerGame,pointsHomePerGame,pointsHomePerGame,pointsHomePerGame,pointsHomePerGame,pointsHomePerGame,pointsHomePerGame,pointsHomePerGame,pointsHomePerGame,pointsHomePerGame,pointsHomePerGame,pointsHomePerGame,pointsHomePerGame,pointsHomePerGame,pointsHomePerGame
AwayTeam,Arsenal,Bournemouth,Brighton,Burnley,Cardiff,Chelsea,Crystal Palace,Everton,Fulham,Huddersfield,Leicester,Liverpool,Man City,Man United,Newcastle,Southampton,Tottenham,Watford,West Ham,Wolves
HomeTeam,,,,,,,,,,,,,,,,,,,,
Arsenal,-1.0,3.0,1.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0
Bournemouth,0.0,-1.0,3.0,0.0,3.0,3.0,3.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,3.0,1.0
Brighton,1.0,0.0,-1.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,3.0,3.0
Burnley,0.0,3.0,3.0,-1.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,3.0
Cardiff,0.0,3.0,3.0,0.0,-1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,3.0
Chelsea,3.0,3.0,3.0,1.0,3.0,-1.0,3.0,1.0,3.0,3.0,0.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0
Crystal Palace,1.0,3.0,0.0,3.0,1.0,0.0,-1.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Everton,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.0,3.0,1.0,0.0,1.0,0.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0
Fulham,0.0,0.0,3.0,3.0,3.0,0.0,0.0,3.0,-1.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0
Huddersfield,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0
Leicester,3.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,-1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0
Liverpool,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,-1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Man City,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,-1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Man United,1.0,3.0,3.0,1.0,0.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,0.0,-1.0,3.0,3.0,0.0,3.0,3.0,1.0
Newcastle,0.0,3.0,0.0,3.0,3.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,3.0,0.0,-1.0,3.0,0.0,3.0,0.0,0.0
Southampton,3.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,-1.0,3.0,1.0,0.0,3.0
Tottenham,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,-1.0,3.0,0.0,0.0
Watford,0.0,0.0,3.0,1.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,3.0,-1.0,0.0,0.0
West Ham,3.0,0.0,1.0,3.0,3.0,1.0,3.0,0.0,3.0,3.0,1.0,1.0,0.0,3.0,3.0,3.0,0.0,0.0,-1.0,0.0
Wolves,3.0,3.0,1.0,3.0,3.0,3.0,0.0,1.0,3.0,0.0,3.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,3.0,-1.0
